Con este curso de control de flujo en C aprenderás a usar instrucciones como if, if-else, switch y else. Además conocerás el funcionamiento de los bucles con while, do while y for. Vuélvete experto en este lenguaje con los otros cursos disponibles en Platzi.;Curso de Control de Flujo en C;https://platzi.com/cursos/flujo-c-2020
Identifica tendencias de negocio recolectando y analizando información de tus consumidores. Genera historias y vivencias a partir del contexto que te permitan decidir el futuro de tu producto y conectar con las necesidades reales de la audiencia. El verdadero engagement empieza aprendiendo de Thick Data.;Curso de Thick Data: Oportunidades de Negocio;https://platzi.com/cursos/curso-de-thick-data
A través de siete pruebas de usabilidad, descubrirás las anécdotas, los errores y los aprendizajes de Puntolab, una de las compañías más importantes de investigación de usuarios.;Curso de Pruebas de Usabilidad: Análisis de Aprendizajes;https://platzi.com/cursos/usabilidad-practico
Tener un conocimiento básico de finanzas es indispensable para evitar que tu emprendimiento fracase. Este curso te permitirá identificar qué tipo de empresa tienes y su modelo de negocio para comenzar a operar. Conocer dónde obtener capital para iniciar una empresa. Dominar los conceptos de finanzas fundamentales para tener un diagnóstico de tu empresa y evitar que fracase por problemas financieros.;Curso de Finanzas para Emprendedores;https://platzi.com/cursos/financiamiento
Extrae datos de Internet de forma automatizada creando spiders. Haz deploy de tus algoritmos y deja la información lista para el acceso en la nube, así puede ser aprovechada por una aplicación web o un software de análisis de datos. Utiliza Python y XPath para comenzar tu carrera como Data Scientist.;Curso de Scrapy;https://platzi.com/cursos/scrapy
Tomamos decisiones que afectan nuestras finanzas personales a diario y es momento de hacerlo de manera consciente e informada. Analiza y evalúa tu situación de ahorro, estrategias de inversión, activos, obligaciones y gastos. Consigue bienestar financiero y alcanza los objetivos que siempre has querido con el Curso de Finanzas Personales de Platzi.;Curso de Finanzas Personales;https://platzi.com/cursos/finanzas-personales
En este curso explorarás Bitcoin y Criptomonedas como mercado financiero, aprenderás a identificar y planear oportunidad de inversión de mediano largo plazo, así como usabilidad, y ecosistema económico.;Curso de Economía Digital: Bitcoin y Criptomonedas ??;https://platzi.com/cursos/economia-digital
Conoce Figma desde cero, una de las herramientas de diseño más versátiles actualmente gracias a la comunidad open source, oportunidad de cocreación y su posibilidad de ser usado en un navegador. Diseñar, prototipar y reunir feedback en un solo lugar de forma colaborativa ahora es una realidad gracias a esta herramienta que está revolucionando la industria. Empieza tu camino en el diseño UI, de aplicaciones y web con este curso.;Curso de Figma;https://platzi.com/cursos/figma
Inicia en el mundo de la programación con el lenguaje de mayor crecimiento en el planeta: Python. Descubre qué es un algoritmo, y cómo se construye uno. Domina las variables, funciones, estructuras de datos, los condicionales y ciclos.;Curso Básico de Python;https://platzi.com/cursos/pythonbasico
Aprende a crear una aplicación web que utilice Machine Learning utilizando Javascript y la librería TensorFlow JS. Crea tu primera aplicación inteligente e inicia tu camino dentro del mundo de la Inteligencia Artificial.;Curso de TensorFlow.js;https://platzi.com/cursos/tensorflow-js
Encontrar el mejor talento para tu start-up o empresa es posible. Ubicar y seleccionar a los mejores candidatos para los perfiles que buscas como reclutador. Implementa técnicas efectivas para encontrar y seleccionar a los mejores leads. Entiende el flujo de trabajo ideal para alcanzar tus metas de reclutamiento.;Curso de Reclutamiento de Talento;https://platzi.com/cursos/reclutamiento-talento
Diseñar y generar texturas para un objeto 3D. Entender cuáles son las distintas partes que forman la textura de un modelo 3D. Aplicar conocimientos base del modelado 3D para organizar y optimizar el proceso de texturizado.;Curso de Texturizado 3D con Substance Painter;https://platzi.com/cursos/textura-3dmaya
WhatsApp es una de las aplicaciones más usadas en el mundo. Tus clientes están ahí. Con el curso de WhatsApp Business de Platzi aprenderás el manejo técnico y estratégico de esta herramienta. Implementa tácticas de marketing integrales con WhatsApp Business para las áreas comerciales y de gestión de relaciones con tus clientes.;Curso de WhatsApp Business;https://platzi.com/cursos/whatsapp-business
Aprende lo imprescindible para fundar y hacer crecer una startup . Comprende las acciones necesarias para la en etapa inicial: validación de ideas, experimentación, desarrollo de producto, gestión de equipos de tecnología, generación de ingresos, toma de decisiones basadas en datos, establecer una cultura de alto rendimiento, liderazgo, recaudación levantamiento de fondos y el arte de priorizar. Lanza y escala tu emprendimiento aprendiendo de la experiencia de diversos fundadores de startups líderes en el mercado y de sus top performers. Determina tu propósito, entiende a tus usuarios y construye soluciones escalables.;Taller de Creación de Startups;https://platzi.com/cursos/taller-startups-2020
Aprende a iniciar y mantener una conversación. Crea una buena primera impresión y genera confianza con cualquier persona, para entablar una plática o cerrar un negocio. Descubre las mejores estrategias para convivir en grupos y atraer a quienes te escuchan. ¡Este curso está 100% en audio y sólo lo puedes escuchar con tu teléfono desde la App de Platzi!;Curso de Comunicación Efectiva;https://platzi.com/cursos/estrategias-comunicar
